題目,選項1.,選項2.,選項3.,選項4.,標準答案
中等的,bed,fail,cry,medium,4
手腕,admire,corner,sleepy,wrist,4
穿越,freedom,ticket,through,overseas,3
氣球,classical,frog,lettuce,balloon,4
工人,maximum,officer,worker,freezing,3
襪子,socks,weak,quit,valentine,1
彩虹,tree,drugstore,room,rainbow,4
盤,especially,sweet,mad,plate,4
衣架,pause,international,meal,hanger,4
地理,society,geography,chemistry,physics,2
設計,leader,bill,poem,design,4
甚至,pray,even,oven,leader,2
她的,clear,matter,her,daughter,3
魔術師,magician,chance,wind,gray,1
為什麼,drive,eye,color,why,4
照片,greet,careful,formal,photo,4
不禮貌的,impolite,video,block,science,1
地下室,master,brother,couch,basement,4
他們的,owner,dress,kitten,theirs,4
確定/某些,hanger,bless,recorder,certain,4
圖表,avoid,stop,chart,notebook,3
酸的,sour,ankle,dozen,microwave,1
池塘,collect,pond,turtle,childish,2
確信的,wheel,subject,precious,sure,4
魔術,Sunday,needle,magic,wheel,3
羽毛球,slim,last,trace,badminton,4
毯/總括,flashlight,stomachache,blanket,family,3
葡萄,grape,short,rent,support,1
瓷器,dial,oven,china,narrow,3
海豚,party,kind,enter,dolphin,4
英俊的,answer,handsome,wound,banana,2
事物,trousers,thing,menu,when,2
五十,pear,chopsticks,duty,fifty,4
機器人,show,straight,robot,find,3
飛盤,teenager,most,camp,frisbee,4
癌,cancer,whale,cancel,allow,1
停車場,parking lot,idea,reason,alarm,1
我們,snow,refrigerator,celebrate,we,4
警報,terrible,alarm,pen,shark,2
老闆,course,gentleman,boss,dream,3
腳踏車,waterfall,regular,park,bicycle,4
點鐘,speech,o'clock,headache,answer,2
作家,seventy,without,writer,topic,3
幼稚園,path,kindergarten,actress,powder,2
作業,wide,obey,playground,homework,4
一些,gentle,a few,seek,lip,2
生日,temple,birthday,ourselves,argue,2
橡膠,Sunday,drive,pronounce,rubber,4
邀請,project,paper,invitation,nature,3
箱,describe,tank,china,smart,2
二月,discuss,partner,blind,February,4
記者,dark,childlike,tub,reporter,4
角色,west,role,midnight,cream,2
懲處,punish,interesting,blind,alarm,1
青蛙,primary,frog,worm,principle,2
舒適的,bookcase,narrow,crime,pleasant,4
四月,French fries,mouse,April,height,3
誰的,mat,six,many,whose,4
歌手,singer,ground,thef,charge,1
修訂,fire,repeat,revise,skillful,3
流行性感冒,spirit,helpful,flu,we,3
傷口,impossible,wound,root,shall,2
慢跑,headache,jog,vinegar,badminton,2
五,silence,five,same,heart,2
羨慕,other,pen,long,envy,4
十,ten,debate,can,worm,1
它自己,needle,itself,ours,advice,2
胃痛,middle,pollute,stomachache,glove,3
汙染,hairdresser,indicate,great,pollution,4
西瓜,country,watermelon,death,must,2
小型摩托車,clerk,scooter,test,energetic,2
三明治,gram,method,sandwich,trousers,3
麵粉,ice,flour,foggy,trumpet,2
陽台,lazy,write,balcony,behind,3
白皙的,pale,weather,foggy,baby sitter,1
海鮮,assistant,right,seafood,cookie,3
皮包骨的,fourteen,skinny,professor,movie,2
多雲的,judge,dawn,cloudy,valentine,3
雇用,pause,hire,interview,answer,2
哪個,engineer,the,which,while,3
瀑布,block,indicate,path,waterfall,4
醬油,trash,sailor,voice,soy sauce,4
母雞,trade,hen,Internet,barber,2
洋蔥,honesty,October,onion,master,3
兩次,type,two,twice,secondary,3
拖鞋,intelligent,tool,wind,slippers,4
痛的,belt,headache,activity,sore,4
恐龍,letter,dinosaur,limit,passenger,2
裙,skill,zebra,shirt,skirt,4
可取得的,chicken,square,available,picnic,3
怪物,toward,village,blood,monster,4
木瓜,papaya,guest,September,back,1
之中,ask,sailor,among,swing,3
幸運的,glad,lucky,wheel,steak,2
媽咪,bee,table,ice,mommy,4
膠水,friendly,satisfy,glue,supper,3
豆,cable,pleasant,bean,delicious,3
